Topic ID,Word,Probability
41,kurp,0.00982391
41,feza,0.009285869
41,han,0.0078118886
41,vaki,0.007191995
41,ihzar,0.0070137535
41,hasebil,0.007004521
41,kal,0.006973696
41,rahme,0.006281799
41,etıbp,0.0061997087
41,saadet,0.006157427
41,ferah,0.0060689626
41,dekaki,0.005963204
41,hariç,0.005958369
41,bina,0.0056661
41,illet,0.005517493
41,peyda,0.0053812065
41,müedda,0.0053618946
42,eşkı,0.020091161
42,merkum,0.016808862
42,merkume,0.016415253
42,ağa,0.016170423
42,vali,0.014997435
42,mum,0.014452002
42,oğl,0.014275757
42,vit,0.013358752
42,ali,0.013111211
42,etdik,0.012525343
42,nam,0.012392674
42,eşkıya,0.012258519
42,ser,0.012239162
42,osman,0.010746871
42,şaki,0.010480598
42,rumeli,0.010176132
42,firar,0.009931011
42,nefer,0.009514106
42,ayan,0.009416176
42,memur,0.0077905995
43,han,0.04673234
43,vali,0.015737478
43,iran,0.015146922
43,bağdad,0.012959782
43,aliyye,0.010809766
43,ker,0.008997507
43,devlet,0.008766237
43,tahrir,0.0071848445
43,ser,0.0065553244
43,canip,0.00631965
43,zend,0.0062575866
43,asker,0.006179312
43,havali,0.005962529
43,canib,0.005825338
43,memalik,0.00552734
43,çıl,0.005488466
43,emr,0.0052676834
43,ahali,0.005196488
43,asakir,0.0051766117
43,vezir,0.0049627433
44,vezaret,0.027870174
44,rütbe,0.019797495
44,mir,0.017458329
44,vezir,0.015477693
44,vali,0.009859915
44,mum,0.008167233
44,mustafa,0.0078026108
44,umur,0.0075023538
44,sadr,0.0072686197
44,ahmed,0.0064613274
44,devlet,0.0064189257
44,azl,0.0062220795
44,val,0.0060572443
44,tevcih,0.0059582065
44,ihsan,0.0059111295
44,ali,0.00583531
44,mansıp,0.005578165
44,bey,0.0050772605
44,devle,0.0050477847
44,ağa,0.004964206
45,kethüda,0.014801079
45,şadr,0.013673255
45,ağa,0.01170725
45,aza,0.01161858
45,hazret,0.009433945
45,aliyye,0.008307403
45,kethüdalık,0.007545645
45,huşuş,0.007532094
45,reaya,0.0074260943
45,mehmed,0.0071222377
45,naşb,0.006835158
45,âmire,0.006800636
45,mum,0.0064552403
45,muştaf,0.00607644
45,mahal,0.005830654
45,hane,0.005809235
45,devlet,0.0055312687
45,hidmet,0.005443337
45,bezl,0.005268064
45,âsitane,0.005224271
46,kıyye,0.01859347
46,bender,0.016227877
46,devlet,0.010261028
46,umur,0.009687209
46,aliyye,0.009254575
46,vekil,0.008914274
46,seniyye,0.0075801234
46,hazret,0.00709386
46,şerif,0.0069657667
46,saltanat,0.0069360244
46,şeriyye,0.006808049
46,müddet,0.0064563956
46,mübaşir,0.0064121434
46,rız,0.0060042897
46,şer,0.005948195
46,gah,0.005693189
46,layık,0.005525011
46,hakk,0.0051990408
46,hareket,0.005120802
46,icra,0.005116973
47,şehr,0.019308358
47,bina,0.01668318
47,temmuz,0.014654381
47,c,0.013908521
47,mayıs,0.013717215
47,haziran,0.010968921
47,1780,0.010543244
47,şenbih,0.010367398
47,16,0.008270147
47,1779,0.00741969
47,yari,0.007224919
47,âmeden,0.0071649808
47,cemaziyel,0.0071189795
47,hane,0.00711835
47,ca,0.0068706796
47,dar,0.0064452463
47,mübaşeret,0.005901063
47,meşhur,0.005701221
47,ahire,0.005447694
47,dest,0.0054031815
48,mum,0.010577148
48,tahrir,0.009458042
48,müşarü,0.009104995
48,mikdar,0.008326573
48,mukaddem,0.008237861
48,ağa,0.0072813523
48,islam,0.0069935136
48,irsal,0.00670703
48,elhac,0.006528452
48,hazret,0.0061344337
48,zikr,0.0059297825
48,haber,0.005765943
48,ordu,0.0052683433
48,zuhur,0.004958664
48,nam,0.0044607627
48,ada,0.0043972377
48,vasıl,0.0043363827
48,boğaz,0.0042986977
48,rikab,0.0042659333
48,canib,0.004229516
49,devlet,0.035928473
